iter	Passed	Remaining
0	63	63846
1	64	32227
2	65	21742
3	66	16478
4	66	13317
5	67	11173
6	68	9651
7	68	8498
8	69	7601
9	69	6883
10	70	6311
11	70	5828
12	71	5412
13	71	5065
14	72	4773
15	73	4503
16	73	4265
17	74	4053
18	74	3864
19	75	3696
20	76	3545
21	76	3406
22	77	3276
23	77	3159
24	78	3059
25	79	2962
26	79	2868
27	80	2783
28	80	2706
29	81	2635
30	82	2565
31	82	2500
32	83	2438
33	83	2381
34	84	2328
35	85	2276
36	85	2229
37	86	2184
38	86	2141
39	87	2098
40	87	2058
41	88	2021
42	89	1986
43	89	1953
44	90	1919
45	91	1888
46	91	1860
47	92	1833
48	93	1806
49	93	1780
50	94	1756
51	95	1732
52	95	1711
53	96	1691
54	97	1669
55	97	1649
56	98	1628
57	99	1608
58	99	1588
59	100	1568
60	100	1549
61	101	1532
62	101	1515
63	102	1498
64	103	1482
65	103	1465
66	104	1450
67	104	1436
68	105	1422
69	106	1409
70	106	1397
71	107	1385
72	108	1372
73	108	1359
74	109	1345
75	109	1333
76	110	1321
77	110	1309
78	111	1299
79	112	1289
80	112	1278
81	113	1268
82	113	1255
83	114	1245
84	114	1235
85	115	1225
86	115	1215
87	116	1206
88	116	1197
89	117	1188
90	118	1179
91	118	1171
92	119	1162
93	119	1153
94	120	1145
95	120	1136
96	121	1128
97	121	1119
98	122	1113
99	122	1104
100	123	1097
101	123	1089
102	124	1083
103	124	1076
104	125	1069
105	125	1061
106	126	1055
107	127	1049
108	127	1043
109	128	1036
110	128	1030
111	129	1024
112	129	1017
113	130	1011
114	130	1005
115	131	999
116	131	992
117	131	986
118	132	981
119	133	976
120	133	970
121	134	964
122	134	959
123	135	954
124	135	948
125	136	944
126	136	938
127	137	933
128	137	929
129	138	925
130	138	921
131	139	916
132	139	911
133	140	906
134	140	902
135	141	898
136	142	894
137	142	890
138	143	886
139	143	881
140	144	878
141	144	873
142	145	869
143	145	865
144	146	861
145	146	857
146	147	854
147	147	850
148	148	847
149	148	843
150	149	840
151	150	836
152	150	833
153	151	830
154	151	826
155	152	823
156	152	820
157	153	816
158	153	813
159	154	810
160	154	806
161	155	802
162	155	799
163	156	796
164	156	793
165	157	790
166	157	787
167	158	784
168	158	781
169	159	778
170	160	775
171	160	773
172	161	771
173	161	768
174	162	765
175	163	763
176	163	760
177	164	757
178	164	755
179	165	752
180	165	749
181	166	747
182	166	744
183	167	742
184	167	739
185	168	737
186	168	734
187	169	732
188	170	729
189	170	727
190	171	724
191	171	722
192	172	719
193	172	717
194	173	715
195	173	712
196	174	710
197	174	708
198	175	705
199	175	703
200	176	701
201	177	699
202	177	697
203	178	695
204	178	693
205	179	690
206	179	688
207	180	686
208	180	684
209	181	682
210	181	680
211	182	677
212	182	675
213	183	674
214	183	671
215	184	669
216	184	667
217	185	665
218	186	663
219	186	661
220	187	659
221	187	657
222	188	655
223	188	653
224	189	651
225	189	650
226	190	648
227	190	646
228	191	644
229	191	642
230	192	640
231	192	638
232	193	636
233	193	634
234	194	632
235	194	630
236	195	628
237	195	627
238	196	625
239	196	623
240	197	621
241	197	619
242	198	617
243	198	616
244	199	614
245	199	612
246	200	611
247	200	609
248	201	607
249	202	606
250	202	604
251	203	602
252	203	601
253	204	599
254	204	598
255	205	596
256	205	595
257	206	594
258	207	592
259	207	590
260	208	589
261	208	588
262	209	586
263	209	585
264	210	583
265	210	582
266	211	580
267	212	579
268	212	577
269	213	576
270	213	574
271	214	573
272	214	571
273	215	570
274	215	568
275	216	567
276	216	565
277	217	564
278	217	563
279	218	561
280	218	560
281	219	558
282	220	557
283	220	556
284	221	554
285	221	553
286	222	551
287	222	550
288	223	549
289	223	547
290	224	546
291	224	545
292	225	544
293	226	543
294	226	541
295	227	540
296	227	539
297	228	538
298	229	537
299	229	535
300	230	534
301	230	533
302	231	531
303	231	530
304	232	529
305	232	527
306	233	526
307	233	525
308	234	524
309	234	522
310	235	521
311	235	520
312	236	519
313	237	517
314	237	516
315	238	515
316	238	514
317	239	513
318	239	511
319	240	510
320	240	509
321	241	508
322	242	507
323	242	506
324	243	505
325	243	503
326	244	502
327	244	501
328	245	500
329	245	499
330	246	498
331	246	496
332	247	495
333	247	494
334	248	493
335	248	492
336	249	491
337	250	489
338	250	488
339	251	487
340	251	486
341	252	485
342	252	484
343	253	483
344	254	482
345	254	481
346	255	480
347	255	479
348	256	478
349	257	477
350	257	476
351	258	475
352	258	473
353	259	472
354	259	471
355	260	470
356	260	469
357	261	468
358	261	467
359	262	466
360	262	465
361	263	464
362	263	463
363	264	462
364	265	461
365	265	460
366	266	459
367	266	458
368	267	457
369	268	456
370	268	455
371	269	454
372	269	453
373	270	452
374	270	451
375	271	450
376	271	449
377	272	448
378	272	446
379	273	446
380	273	445
381	274	443
382	274	442
383	275	441
384	275	440
385	276	439
386	276	438
387	277	437
388	278	436
389	278	435
390	279	434
391	279	433
392	280	432
393	280	431
394	281	430
395	281	429
396	282	428
397	282	427
398	283	426
399	283	425
400	284	424
401	284	423
402	285	422
403	285	421
404	286	420
405	286	419
406	287	418
407	287	417
408	288	416
409	288	415
410	289	414
411	289	413
412	290	412
413	290	411
414	291	410
415	291	409
416	292	408
417	293	407
418	293	406
419	293	405
420	294	404
421	294	403
422	295	402
423	295	401
424	296	400
425	296	400
426	297	399
427	297	398
428	298	397
429	299	396
430	299	395
431	300	394
432	300	393
433	301	392
434	301	391
435	302	391
436	302	390
437	303	389
438	303	388
439	304	387
440	304	386
441	305	385
442	306	384
443	306	383
444	307	382
445	307	382
446	308	381
447	308	380
448	309	379
449	309	378
450	310	377
451	310	376
452	311	375
453	311	375
454	312	374
455	312	373
456	313	372
457	314	371
458	314	370
459	315	369
460	315	368
461	316	368
462	316	367
463	317	366
464	317	365
465	318	364
466	318	363
467	319	363
468	319	362
469	320	361
470	321	360
471	321	359
472	322	358
473	322	358
474	323	357
475	323	356
476	324	355
477	324	354
478	325	353
479	325	353
480	326	352
481	326	351
482	327	350
483	328	349
484	328	348
485	329	348
486	329	347
487	330	346
488	330	345
489	331	344
490	331	343
491	332	343
492	332	342
493	333	341
494	333	340
495	334	339
496	334	338
497	335	338
498	335	337
499	336	336
500	337	335
501	337	334
502	338	334
503	338	333
504	339	332
505	339	331
506	340	331
507	341	330
508	341	329
509	342	328
510	342	328
511	343	327
512	344	326
513	344	325
514	345	325
515	346	324
516	346	323
517	347	323
518	347	322
519	348	321
520	349	320
521	349	320
522	350	319
523	350	318
524	351	317
525	351	317
526	352	316
527	352	315
528	353	314
529	354	313
530	354	313
531	355	312
532	355	311
533	356	310
534	356	309
535	357	309
536	357	308
537	358	307
538	358	306
539	359	306
540	359	305
541	360	304
542	360	303
543	361	303
544	362	302
545	362	301
546	363	300
547	363	300
548	364	299
549	364	298
550	365	297
551	365	296
552	366	296
553	367	295
554	367	294
555	368	293
556	368	293
557	369	292
558	369	291
559	370	290
560	370	290
561	371	289
562	371	288
563	372	287
564	372	287
565	373	286
566	373	285
567	374	284
568	374	283
569	375	283
570	375	282
571	376	281
572	377	280
573	377	280
574	378	279
575	378	278
576	379	278
577	379	277
578	380	276
579	380	275
580	381	275
581	382	274
582	382	273
583	383	272
584	383	272
585	384	271
586	384	270
587	385	269
588	385	269
589	386	268
590	386	267
591	387	266
592	387	266
593	388	265
594	388	264
595	389	263
596	390	263
597	390	262
598	391	261
599	391	261
600	392	260
601	392	259
602	393	258
603	393	258
604	394	257
605	394	256
606	395	256
607	395	255
608	396	254
609	396	253
610	397	253
611	397	252
612	398	251
613	399	250
614	399	250
615	400	249
616	400	248
617	401	248
618	401	247
619	402	246
620	402	245
621	403	245
622	403	244
623	404	243
624	405	243
625	405	242
626	406	241
627	406	240
628	407	240
629	407	239
630	408	238
631	409	238
632	409	237
633	410	236
634	410	235
635	411	235
636	411	234
637	412	233
638	412	233
639	413	232
640	413	231
641	414	230
642	414	230
643	415	229
644	415	228
645	416	228
646	416	227
647	417	226
648	417	225
649	418	225
650	418	224
651	419	223
652	419	223
653	420	222
654	420	221
655	421	220
656	421	220
657	422	219
658	423	218
659	423	218
660	424	217
661	424	216
662	425	216
663	425	215
664	426	214
665	426	213
666	427	213
667	427	212
668	428	211
669	428	211
670	429	210
671	429	209
672	430	209
673	430	208
674	431	207
675	432	207
676	432	206
677	433	205
678	433	204
679	434	204
680	434	203
681	435	202
682	435	202
683	436	201
684	436	200
685	437	200
686	437	199
687	438	198
688	438	198
689	439	197
690	439	196
691	440	196
692	441	195
693	441	194
694	442	194
695	442	193
696	443	192
697	443	191
698	444	191
699	444	190
700	445	189
701	445	189
702	446	188
703	446	187
704	447	187
705	447	186
706	448	185
707	448	185
708	449	184
709	450	183
710	450	183
711	451	182
712	451	181
713	452	181
714	452	180
715	453	179
716	453	179
717	454	178
718	454	177
719	455	177
720	456	176
721	456	175
722	457	175
723	457	174
724	458	173
725	458	173
726	459	172
727	459	171
728	460	171
729	460	170
730	461	169
731	461	169
732	462	168
733	463	167
734	463	167
735	463	166
736	464	165
737	464	165
738	465	164
739	466	163
740	466	163
741	467	162
742	467	161
743	468	161
744	468	160
745	469	159
746	469	159
747	470	158
748	470	157
749	471	157
750	472	156
751	472	155
752	473	155
753	473	154
754	474	153
755	474	153
756	475	152
757	475	151
758	476	151
759	476	150
760	477	149
761	477	149
762	478	148
763	478	147
764	479	147
765	479	146
766	480	145
767	480	145
768	481	144
769	481	143
770	482	143
771	482	142
772	483	141
773	484	141
774	484	140
775	485	140
776	485	139
777	486	138
778	486	138
779	487	137
780	487	136
781	488	136
782	488	135
783	489	134
784	490	134
785	490	133
786	491	132
787	491	132
788	492	131
789	492	130
790	493	130
791	493	129
792	494	129
793	494	128
794	495	127
795	496	127
796	496	126
797	497	125
798	497	125
799	498	124
800	498	123
801	499	123
802	499	122
803	500	122
804	501	121
805	501	120
806	502	120
807	502	119
808	503	118
809	503	118
810	504	117
811	504	116
812	505	116
813	506	115
814	506	115
815	507	114
816	507	113
817	508	113
818	508	112
819	509	111
820	509	111
821	510	110
822	510	109
823	511	109
824	511	108
825	512	107
826	513	107
827	513	106
828	514	106
829	514	105
830	515	104
831	515	104
